word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
домой	0.659381542583586	0.355548313648456	0.749131912307953	643	263	0.409020217729393	0.306410097880236	LowCPI
целый	0.193035633390809	0.590570424050725	0.621318100108184	72	52	0.722222222222222	0.448729738967022	MediumCPI
воз	0.0867390513682284	0.564514266359733	0.571139229922028	36	26	0.722222222222222	0.412489443832576	LowCPI
вот	0.674783214776644	0.169719345342087	0.695799571089009	1776	371	0.208896396396396	0.145350023014652	VLowCPI
едет	0.115425582431662	0.31667308939467	0.337053275650086	134	67	0.5	0.168526637825043	LowCPI
он	0.600073517088004	0.133085554394969	0.614654366859118	2103	370	0.175939134569662	0.108141757364657	VLowCPI
видит	0.787046071191585	0.649004535922533	1.02012176029439	229	154	0.672489082969432	0.686020747097539	MediumCPI
лисичка	0.00299202619126396	0.0202619931427145	0.0204817134743317	78	6	0.0769230769230769	0.00157551642110244	VLowCPI
свернулась	0.0032088142305021	0.30309922043805	0.303116205305687	4	2	0.5	0.151558102652844	VLowCPI
лежит	0.416200518435149	0.571336558885814	0.70685807278772	168	112	0.666666666666667	0.471238715191813	MediumCPI
на	1.01232391293581	0.074919420991314	1.01509242157714	6725	497	0.0739033457249071	0.0750187261745488	VLowCPI
дороге	0.28158512276456	0.538177182043547	0.607391850978152	130	86	0.661538461538462	0.401813070647085	LowCPI
слез	0.313899763300993	0.782283647249878	0.842912074984687	47	40	0.851063829787234	0.717371978710372	MediumCPI
с	0.769147485090996	0.110443872939493	0.777036487490568	3333	426	0.127812781278128	0.0993151946207566	VLowCPI
